"tissue_type","sample_id","expression"
"Adipose - Subcutaneous","GTEX-ZXES-2026-SM-5NQ6R.1",177622.410380728
"Adipose - Subcutaneous","GTEX-YFC4-0226-SM-57WD2.1",239574.184028388
"Adipose - Visceral (Omentum)","GTEX-ZLV1-0926-SM-5S2MR.1",109967.326002178
"Adipose - Subcutaneous","GTEX-13YAN-0426-SM-5O9DR.1",387684.596376582
"Adipose - Subcutaneous","GTEX-P4PP-0226-SM-5S2VR.1",407851.12836548
"Adipose - Visceral (Omentum)","GTEX-ZZ64-0626-SM-5GZWR.1",193104.498237478
"Adipose - Visceral (Omentum)","GTEX-13FTW-0426-SM-5K7X2.1",209699.141575613
"Adipose - Subcutaneous","GTEX-Z93S-0226-SM-5HL7R.1",206595.697338065
"Adipose - Subcutaneous","GTEX-12WSC-0226-SM-5EQ52.1",181557.343451733
"Adipose - Visceral (Omentum)","GTEX-12WSK-1026-SM-5CVNR.1",307990.490578412
"Adipose - Subcutaneous","GTEX-14BMV-0226-SM-5S2N2.1",117860.614364848
"Adipose - Visceral (Omentum)","GTEX-11I78-0226-SM-5HL6R.1",228144.140345946
"Adipose - Visceral (Omentum)","GTEX-13111-0626-SM-5LZVR.1",137757.790816147
"Adipose - Subcutaneous","GTEX-11DXZ-2226-SM-5EGH2.1",349166.754499994
"Adipose - Subcutaneous","GTEX-12WSB-0226-SM-5GCOR.1",380306.596868449
"Adipose - Visceral (Omentum)","GTEX-12ZZW-2326-SM-5DUW2.1",442996.170466922
"Adipose - Visceral (Omentum)","GTEX-113JC-0726-SM-5GZZR.1",434119.148836501
"Adipose - Subcutaneous","GTEX-VUSG-2426-SM-5S2S2.1",404583.728583307
"Adipose - Subcutaneous","GTEX-QDVN-2126-SM-2I3FR.1",298328.824555856
"Adipose - Subcutaneous","GTEX-QVJO-0226-SM-2S1R2.1",46938.1302041246
"Adipose - Subcutaneous","GTEX-RVPU-2326-SM-2TF6R.1",103303.704224197
"Adipose - Subcutaneous","GTEX-QCQG-1826-SM-2S1P2.1",355877.220719296
"Adipose - Visceral (Omentum)","GTEX-13N11-1826-SM-5IJDS.1",431015.704598953
"Adipose - Visceral (Omentum)","GTEX-12WSC-1726-SM-5GCN3.1",531883.497874434
"Adipose - Subcutaneous","GTEX-13RTJ-2526-SM-5S2Q3.1",327665.155933434
"Adipose - Visceral (Omentum)","GTEX-ZVT2-0226-SM-5GIE3.1",296162.269144738
"Adipose - Visceral (Omentum)","GTEX-13OVG-1326-SM-5K7Y3.1",378339.130332947
"Adipose - Visceral (Omentum)","GTEX-ZYFG-1426-SM-5GICS.1",227628.85149141
"Adipose - Visceral (Omentum)","GTEX-13N2G-1926-SM-5J1O3.1",584583.4943611
"Adipose - Visceral (Omentum)","GTEX-ZGAY-1326-SM-5S2NS.1",490894.611718137
"Adipose - Subcutaneous","GTEX-13OVL-0326-SM-5IJCS.1",264799.915680005
"Adipose - Subcutaneous","GTEX-145ME-1926-SM-5SI9S.1",97284.193514387
"Adipose - Visceral (Omentum)","GTEX-13FTX-0626-SM-5J2NS.1",232395.27339587
"Adipose - Subcutaneous","GTEX-11OF3-2426-SM-5Q5AS.1",145252.901427584
"Adipose - Subcutaneous","GTEX-YJ8O-2426-SM-5HL7S.1",209008.186066121
"Adipose - Subcutaneous","GTEX-QDVJ-1826-SM-2S1P3.1",76333.0171333544
"Adipose - Subcutaneous","GTEX-R55F-1426-SM-2TF53.1",260712.738174706
"Adipose - Subcutaneous","GTEX-P44H-0326-SM-2XCES.1",152103.900970851
"Adipose - Subcutaneous","GTEX-ZVZP-2326-SM-59HL4.1",362786.775814215
"Adipose - Visceral (Omentum)","GTEX-ZYT6-2126-SM-5GZZ4.1",532457.342280621
"Adipose - Subcutaneous","GTEX-11EI6-0226-SM-5EQ64.1",116232.770028926
"Adipose - Subcutaneous","GTEX-13113-1826-SM-5LZW4.1",205541.697408331
"Adipose - Visceral (Omentum)","GTEX-X8HC-2326-SM-4QAS4.1",458138.636124091
"Adipose - Visceral (Omentum)","GTEX-ZQUD-0526-SM-57WG4.1",149574.301139491
"Adipose - Subcutaneous","GTEX-144FL-0226-SM-5Q5D4.1",223494.829544789
"Adipose - Visceral (Omentum)","GTEX-117YX-0726-SM-5GIET.1",299663.891133518
"Adipose - Subcutaneous","GTEX-YJ8A-0526-SM-5IFHT.1",105575.659628289
"Adipose - Visceral (Omentum)","GTEX-ZT9X-0926-SM-5O9C4.1",815538.301186336
"Adipose - Subcutaneous","GTEX-11P7K-2026-SM-5GU74.1",153813.723079085
"Adipose - Subcutaneous","GTEX-Q2AH-1726-SM-2S1OT.1",49619.9744697795
"Adipose - Subcutaneous","GTEX-Q2AG-0226-SM-2S1P4.1",52723.4187073276
"Adipose - Subcutaneous","GTEX-QESD-1526-SM-2S1QT.1",27392.2870627364
"Adipose - Subcutaneous","GTEX-QDT8-0226-SM-32PL4.1",364906.486784012
"Adipose - Subcutaneous","GTEX-S7SE-0226-SM-2XCD4.1",107917.881694363
"Adipose - Visceral (Omentum)","GTEX-145MI-0826-SM-5SI95.1",1072398.08406235
"Adipose - Subcutaneous","GTEX-13IVO-0226-SM-5LZXU.1",601798.826546745
"Adipose - Subcutaneous","GTEX-1128S-2126-SM-5H12U.1",164295.166824766
"Adipose - Subcutaneous","GTEX-ZQG8-1526-SM-5HL65.1",187084.987527667
"Adipose - Visceral (Omentum)","GTEX-131XF-0726-SM-5GIE5.1",281394.55901814
"Adipose - Subcutaneous","GTEX-YECK-0226-SM-4W215.1",441555.703896286
"Adipose - Subcutaneous","GTEX-13PLJ-0126-SM-5L3HU.1",403236.950895314
"Adipose - Visceral (Omentum)","GTEX-13NZB-0826-SM-5K7X5.1",697010.153532656
"Adipose - Subcutaneous","GTEX-145LS-0226-SM-5O9A5.1",369122.486502945
"Adipose - Subcutaneous","GTEX-ZLV1-1826-SM-5FQU5.1",224420.007260888
"Adipose - Visceral (Omentum)","GTEX-13NZ9-2026-SM-5KM1U.1",753047.816463479
"Adipose - Subcutaneous","GTEX-13NZ8-0926-SM-5MR3U.1",618791.647636113
"Adipose - Visceral (Omentum)","GTEX-ZVZP-1126-SM-5GICU.1",146131.234702362
"Adipose - Subcutaneous","GTEX-NL3G-0226-SM-4RGLU.1",219934.652004356
"Adipose - Subcutaneous","GTEX-13JUV-2826-SM-5LZWU.1",244949.583670028
"Adipose - Subcutaneous","GTEX-PX3G-0226-SM-2S1OU.1",141423.368349553
"Adipose - Subcutaneous","GTEX-Q2AI-1426-SM-2S1P5.1",205775.919614938
"Adipose - Subcutaneous","GTEX-RM2N-1726-SM-2TF55.1",132780.56892574
"Adipose - Subcutaneous","GTEX-QEL4-0326-SM-3GAE5.1",175608.099403904
"Adipose - Subcutaneous","GTEX-1211K-2226-SM-5FQU6.1",236622.984225134
"Adipose - Visceral (Omentum)","GTEX-132QS-0826-SM-5K7WV.1",316118.001147689
"Adipose - Subcutaneous","GTEX-11EQ9-2526-SM-5HL66.1",250079.04999473
"Adipose - Subcutaneous","GTEX-12ZZZ-0526-SM-5DUX6.1",127487.147056412
"Adipose - Subcutaneous","GTEX-13N1W-0226-SM-5K7W6.1",193643.209312675
"Adipose - Visceral (Omentum)","GTEX-13OVL-0826-SM-5L3GV.1",427912.260361405
"Adipose - Subcutaneous","GTEX-12WSM-0226-SM-5LZV6.1",151167.012144421
"Adipose - Subcutaneous","GTEX-11PRG-0626-SM-5BC56.1",173160.477344857
"Adipose - Subcutaneous","GTEX-145MO-0426-SM-5QGP6.1",125344.013865955
"Adipose - Subcutaneous","GTEX-145MF-0526-SM-5LUA6.1",235393.317640445
"Adipose - Subcutaneous","GTEX-ZYFD-0226-SM-5NQ86.1",178524.165876167
"Adipose - Subcutaneous","GTEX-Y5V6-2526-SM-5IFJV.1",255594.982960335
"Adipose - Visceral (Omentum)","GTEX-YJ89-1926-SM-5IFJ6.1",634121.491058566
"Adipose - Subcutaneous","GTEX-11ZU8-2426-SM-5EQMV.1",127217.791518814
"Adipose - Subcutaneous","GTEX-131XE-2426-SM-5EQ5V.1",153298.434224549
"Adipose - Visceral (Omentum)","GTEX-11GSO-0226-SM-5A5LV.1",628418.180327676
"Adipose - Subcutaneous","GTEX-P4QR-0426-SM-2S1NV.1",141341.390577241
"Adipose - Subcutaneous","GTEX-S4P3-1526-SM-3K2AV.1",150616.589958894
"Adipose - Subcutaneous","GTEX-12WSL-2426-SM-5GCN7.1",276335.35935542
"Adipose - Subcutaneous","GTEX-ZZ64-1626-SM-5E43W.1",109264.659382356
"Adipose - Subcutaneous","GTEX-139T6-2126-SM-5KM37.1",234690.651020623
"Adipose - Subcutaneous","GTEX-1399R-2626-SM-5KLZ7.1",123985.525067632
"Adipose - Visceral (Omentum)","GTEX-13PDP-1226-SM-5K7TW.1",2401515.41767675
"Adipose - Visceral (Omentum)","GTEX-Y5LM-0826-SM-4VDSW.1",214910.585672628
"Adipose - Subcutaneous","GTEX-1314G-1626-SM-5EQ67.1",224197.496164611
"Adipose - Subcutaneous","GTEX-1117F-0226-SM-5GZZ7.1",342081.53275012
"Adipose - Visceral (Omentum)","GTEX-11NV4-1426-SM-5BC4W.1",332993.711133753
"Adipose - Subcutaneous","GTEX-13JVG-0226-SM-5J1MW.1",249809.694457131
"Adipose - Subcutaneous","GTEX-ZT9X-1926-SM-57WE7.1",351462.132124747
"Adipose - Subcutaneous","GTEX-1313W-0226-SM-5LZV7.1",201185.164365433
"Adipose - Visceral (Omentum)","GTEX-14753-2526-SM-5LU97.1",440396.30397358
"Adipose - Subcutaneous","GTEX-S32W-2226-SM-5S2S7.1",569640.117579548
"Adipose - Subcutaneous","GTEX-PLZ4-0226-SM-2S1NW.1",130578.88018363
"Adipose - Subcutaneous","GTEX-R53T-1626-SM-3GAEW.1",168932.766515593
"Adipose - Subcutaneous","GTEX-T5JC-0526-SM-32PM7.1",191382.965018913
"Adipose - Subcutaneous","GTEX-111FC-0226-SM-5N9B8.1",299710.73557484
"Adipose - Subcutaneous","GTEX-11GSO-2326-SM-5A5LX.1",139327.079600417
"Adipose - Subcutaneous","GTEX-12WS9-0226-SM-5EQ4X.1",61096.8625935424
"Adipose - Visceral (Omentum)","GTEX-ZV7C-0826-SM-59HK8.1",101547.037674642
"Adipose - Subcutaneous","GTEX-YEC3-1226-SM-5IFI8.1",343674.24375505
"Adipose - Visceral (Omentum)","GTEX-132Q8-1726-SM-5EGK8.1",789574.769583904
"Adipose - Visceral (Omentum)","GTEX-Y8LW-0926-SM-4VBQ8.1",594081.204839031
"Adipose - Subcutaneous","GTEX-13FTW-2526-SM-5IJC8.1",262996.404689128
"Adipose - Visceral (Omentum)","GTEX-ZPCL-1026-SM-5GCOX.1",305847.357387954
"Adipose - Visceral (Omentum)","GTEX-13S7M-0826-SM-5QGQX.1",619541.158697256
"Adipose - Subcutaneous","GTEX-ZAK1-0226-SM-5CVMX.1",145779.901392451
"Adipose - Subcutaneous","GTEX-QDVN-2126-SM-5SI7X.1",331728.911218072
"Adipose - Subcutaneous","GTEX-144GL-0226-SM-5QGOX.1",194989.987000668
"Adipose - Subcutaneous","GTEX-XXEK-2426-SM-5S2S8.1",721474.6630128
"Adipose - Subcutaneous","GTEX-POMQ-2326-SM-2S1O8.1",75806.0171684877
"Adipose - Subcutaneous","GTEX-TMKS-0226-SM-3DB7X.1",642155.312745201
"Adipose - Subcutaneous","GTEX-WEY5-1926-SM-3GIL8.1",191558.631673869
"Adipose - Subcutaneous","GTEX-13OW6-0526-SM-5L3HY.1",314958.601224982
"Adipose - Subcutaneous","GTEX-13PDP-0226-SM-5K7W9.1",485858.834276077
"Adipose - Visceral (Omentum)","GTEX-13IVO-2426-SM-5K7V9.1",3743596.95042687
"Adipose - Subcutaneous","GTEX-11ZTT-2526-SM-5EQM9.1",221117.474147724
"Adipose - Visceral (Omentum)","GTEX-YEC4-0926-SM-5PNXY.1",334281.933270093
"Adipose - Subcutaneous","GTEX-ZF29-2226-SM-4WWB9.1",334059.422173816
"Adipose - Subcutaneous","GTEX-11H98-0226-SM-5NQ89.1",266989.893311785
"Adipose - Subcutaneous","GTEX-YJ89-0226-SM-4TT3Y.1",456393.680684866
"Adipose - Visceral (Omentum)","GTEX-YFCO-1126-SM-5S2N9.1",272412.137394746
"Adipose - Visceral (Omentum)","GTEX-13PVQ-2226-SM-5L3G9.1",280375.692419398
"Adipose - Visceral (Omentum)","GTEX-ZQG8-1026-SM-51MR9.1",456803.569546429
"Adipose - Visceral (Omentum)","GTEX-ZTX8-0726-SM-59HL9.1",264366.604597782
"Adipose - Subcutaneous","GTEX-13D11-2326-SM-5IJCY.1",236740.095328438
"Adipose - Visceral (Omentum)","GTEX-13112-1126-SM-5GCMY.1",448875.147852767
"Adipose - Subcutaneous","GTEX-QLQW-1226-SM-2S1Q9.1",46902.9968731335
"Adipose - Subcutaneous","GTEX-P44G-2326-SM-2XCCZ.1",52969.3520242654
"Adipose - Subcutaneous","GTEX-X4LF-1726-SM-3NMBZ.1",672779.866259119
"Adipose - Subcutaneous","GTEX-P78B-0226-SM-3NB1Z.1",484629.167691389
"Adipose - Subcutaneous","GTEX-14ICK-0326-SM-6LLIZ.1",249997.072222418
"Adipose - Visceral (Omentum)","GTEX-14PJ4-0126-SM-62LEZ.1",219559.896473784
"Adipose - Visceral (Omentum)","GTEX-17JCI-1626-SM-7EPGZ.1",684795.46545808
"Adipose - Visceral (Omentum)","GTEX-1AX8Y-1226-SM-72D6Z.1",644919.134783168
"Adipose - Visceral (Omentum)","GTEX-1B996-1226-SM-73KWZ.1",706718.663996534
"Adipose - Subcutaneous","GTEX-1E1VI-0226-SM-793CZ.1",262539.671386244
"Adipose - Subcutaneous","GTEX-1HGF4-2526-SM-ADEIZ.1",212474.67472391
"Adipose - Subcutaneous","GTEX-1HSMO-0226-SM-CGQEZ.1",842263.05496024
"Adipose - Visceral (Omentum)","GTEX-1I1GP-1426-SM-ACKVZ.1",204042.675286044
"Adipose - Visceral (Omentum)","GTEX-1IDJI-0926-SM-ACKWZ.1",945215.425874526
"Adipose - Visceral (Omentum)","GTEX-1J8EW-1526-SM-CMKFZ.1",585895.138718102
"Adipose - Visceral (Omentum)","GTEX-1J8Q2-2226-SM-CM2TZ.1",656969.86731312
"Adipose - Subcutaneous","GTEX-1JMPY-1426-SM-ARL8Z.1",129220.391385307
"Adipose - Subcutaneous","GTEX-1LBAC-0226-SM-DHXJZ.1",225497.429411282
"Adipose - Visceral (Omentum)","GTEX-1MUQO-0826-SM-EVYCZ.1",193444.120437058
"Adipose - Visceral (Omentum)","GTEX-1QP29-1626-SM-EXUSZ.1",170993.921933738
"Adipose - Subcutaneous","GTEX-1R46S-0526-SM-EVYBZ.1",375387.930529693
"Adipose - Subcutaneous","GTEX-13CF2-2626-SM-5LZZA.1",250114.183325721
"Adipose - Subcutaneous","GTEX-X62O-0226-SM-4E3JB.1",573235.428450972
"Adipose - Subcutaneous","GTEX-11EM3-2326-SM-5H12B.1",155746.056283596
"Adipose - Visceral (Omentum)","GTEX-145LU-1226-SM-5LU9B.1",590357.071753972
"Adipose - Visceral (Omentum)","GTEX-13OW8-0326-SM-5L3FB.1",486573.21200623
"Adipose - Subcutaneous","GTEX-113IC-0226-SM-5HL5C.1",222757.029593976
"Adipose - Visceral (Omentum)","GTEX-11P7K-0826-SM-5BC5F.1",305472.601857382
"Adipose - Subcutaneous","GTEX-13N2G-2726-SM-5J1MG.1",264319.76015646
"Adipose - Visceral (Omentum)","GTEX-1117F-1326-SM-5EGHH.1",240429.095082505
"Adipose - Subcutaneous","GTEX-11I78-2626-SM-5Q5AI.1",390846.596165783
"Adipose - Subcutaneous","GTEX-139D8-0326-SM-5IJCJ.1",428439.260326271
"Adipose - Visceral (Omentum)","GTEX-111YS-1326-SM-5EGGK.1",127955.591469627
"Adipose - Subcutaneous","GTEX-111VG-2326-SM-5N9BK.1",217639.274379604
"Adipose - Visceral (Omentum)","GTEX-11DXX-2026-SM-5EGJL.1",347843.399032662
"Adipose - Visceral (Omentum)","GTEX-111CU-1026-SM-5EGIL.1",272295.026291443
"Adipose - Visceral (Omentum)","GTEX-Y3I4-0726-SM-4TT7M.1",571420.206349763
"Adipose - Subcutaneous","GTEX-XLM4-0226-SM-4AT4N.1",220531.918631205
"Adipose - Subcutaneous","GTEX-111CU-1826-SM-5GZYN.1",302849.313143379
"Adipose - Subcutaneous","GTEX-13OW7-0226-SM-5MR3N.1",159798.100457904
"Adipose - Subcutaneous","GTEX-144GM-1926-SM-5LUAN.1",37194.4864092565
"Adipose - Visceral (Omentum)","GTEX-117YW-0826-SM-5H11O.1",412313.061401352
"Adipose - Subcutaneous","GTEX-PWN1-0226-SM-5SI7O.1",336249.399805595
"Adipose - Subcutaneous","GTEX-12WSD-0226-SM-59HKO.1",365773.108948459
"Adipose - Subcutaneous","GTEX-13QJ3-0426-SM-5RQHP.1",242419.983838667
"Adipose - Visceral (Omentum)","GTEX-XXEK-1426-SM-4BRW1.1",614645.914579161
"Adipose - Subcutaneous","GTEX-X88G-0226-SM-4GIE4.1",642249.001627844
"Adipose - Visceral (Omentum)","GTEX-XV7Q-1726-SM-4BRUU.1",608755.226082984
"Adipose - Subcutaneous","GTEX-OHPN-0226-SM-48TBV.1",184227.476607057
"Adipose - Subcutaneous","GTEX-XPVG-2726-SM-4B66W.1",136703.790886414
"Adipose - Visceral (Omentum)","GTEX-XQ8I-1426-SM-4BOPW.1",459590.813805057
"Adipose - Visceral (Omentum)","GTEX-XOT4-0826-SM-4B66Y.1",597032.404642284
"Adipose - Subcutaneous","GTEX-13O3P-0226-SM-5KM3Z.1",257831.805033435
"Adipose - Subcutaneous","GTEX-QV44-1825-SM-447CF.1",303013.268688004
"Adipose - Subcutaneous","GTEX-RU72-1026-SM-46MUG.1",254283.338603333
"Adipose - Subcutaneous","GTEX-XUYS-0226-SM-47JX1.1",116724.636662802
"Adipose - Visceral (Omentum)","GTEX-XYKS-1826-SM-4E3JV.1",665999.133377836
"Adipose - Subcutaneous","GTEX-X638-0226-SM-47JZ9.1",323203.222897563
"Adipose - Visceral (Omentum)","GTEX-1RDX4-2826-SM-E6CRA.1",83734.4388621485
"Adipose - Subcutaneous","GTEX-U3ZM-1026-SM-EZ6LD.1",259049.760507794
"Adipose - Visceral (Omentum)","GTEX-1RLM8-1026-SM-EWROE.1",346262.399138062
"Adipose - Subcutaneous","GTEX-R3RS-0226-SM-EYYVE.1",225860.473831524
"Adipose - Subcutaneous","GTEX-ZGAY-0626-SM-DO92E.1",191148.742812306
"Adipose - Visceral (Omentum)","GTEX-1RMOY-0826-SM-E9TIF.1",763775.193526097
"Adipose - Subcutaneous","GTEX-PX3G-0226-SM-DKPOF.1",278068.603684315
"Adipose - Subcutaneous","GTEX-RNOR-0226-SM-EZ6MF.1",359378.842708077
"Adipose - Subcutaneous","GTEX-RVPV-1526-SM-EXOHF.1",193912.564850273
"Adipose - Subcutaneous","GTEX-VJWN-0226-SM-EZ6LF.1",377648.174823455
"Adipose - Visceral (Omentum)","GTEX-WI4N-1526-SM-EZ6LG.1",1062490.48472286
"Adipose - Subcutaneous","GTEX-1R7EU-0326-SM-EWRNJ.1",195376.45364157
"Adipose - Visceral (Omentum)","GTEX-1RAZR-1026-SM-E8VOJ.1",709810.397123751
"Adipose - Subcutaneous","GTEX-R45C-0226-SM-EVYAJ.1",415252.550094275
"Adipose - Subcutaneous","GTEX-S3LF-0226-SM-EZ6LJ.1",701378.397685884
"Adipose - Subcutaneous","GTEX-1QP6S-0126-SM-E9J4K.1",260712.738174706
"Adipose - Subcutaneous","GTEX-1QP9N-1526-SM-DTXFK.1",213153.919123072
"Adipose - Visceral (Omentum)","GTEX-XPVG-1626-SM-EYYVK.1",223483.118434459
"Adipose - Visceral (Omentum)","GTEX-VJYA-1626-SM-EXOHL.1",242783.028258909
"Adipose - Subcutaneous","GTEX-ZLFU-2626-SM-DO91L.1",256590.427338416
"Adipose - Visceral (Omentum)","GTEX-WVLH-1626-SM-EXURN.1",229994.495778145
"Adipose - Visceral (Omentum)","GTEX-1S82P-0926-SM-EWRNP.1",254763.494126878
"Adipose - Visceral (Omentum)","GTEX-1S831-1926-SM-EV79P.1",292086.802749769
"Adipose - Subcutaneous","GTEX-PSDG-0326-SM-48TCP.1",278220.84811861
"Adipose - Visceral (Omentum)","GTEX-VJWN-2326-SM-EVYAP.1",919169.916499783
"Adipose - Subcutaneous","GTEX-PWOO-2226-SM-2S1P1.1",201723.875440631
"Adipose - Subcutaneous","GTEX-OXRK-0326-SM-2YUMQ.1",366393.797795969
"Adipose - Subcutaneous","GTEX-SUCS-1826-SM-32PM1.1",251683.472109991
"Adipose - Subcutaneous","GTEX-U8XE-0426-SM-3DB91.1",30624.5535139186
"Adipose - Subcutaneous","GTEX-WI4N-1126-SM-3LK7Q.1",438311.726334774
"Adipose - Subcutaneous","GTEX-OHPM-0226-SM-3LK61.1",325322.93386736
"Adipose - Subcutaneous","GTEX-13OVK-2126-SM-6PAN1.1",278232.55922894
"Adipose - Subcutaneous","GTEX-14BIN-0726-SM-793DQ.1",485975.945379381
"Adipose - Visceral (Omentum)","GTEX-14BMV-1626-SM-73KVQ.1",397112.04019253
"Adipose - Subcutaneous","GTEX-14DAQ-0226-SM-664MQ.1",346051.599152115
"Adipose - Subcutaneous","GTEX-14PII-0326-SM-6LLIQ.1",341074.377261708
"Adipose - Visceral (Omentum)","GTEX-14PJO-1626-SM-69LPQ.1",468116.502125566
"Adipose - Visceral (Omentum)","GTEX-169BO-0426-SM-7EPI1.1",1067994.70657813
"Adipose - Visceral (Omentum)","GTEX-178AV-0626-SM-6PAM1.1",403810.795301503
"Adipose - Subcutaneous","GTEX-17HHY-0226-SM-793BQ.1",225954.162714167
"Adipose - Subcutaneous","GTEX-18QFQ-0226-SM-731BQ.1",118129.969902446
"Adipose - Subcutaneous","GTEX-1B8KE-2526-SM-73KYQ.1",141645.87944583
"Adipose - Subcutaneous","GTEX-1B8SG-0226-SM-7939Q.1",50580.2855168698
"Adipose - Visceral (Omentum)","GTEX-1CAV2-0226-SM-7IGPQ.1",138776.65741489
"Adipose - Visceral (Omentum)","GTEX-1CB4I-0826-SM-7MGX1.1",133448.102214571
"Adipose - Subcutaneous","GTEX-1CB4J-1126-SM-7PBY1.1",213189.052454063
"Adipose - Subcutaneous","GTEX-1EMGI-0226-SM-9MQL1.1",260010.071554884
"Adipose - Visceral (Omentum)","GTEX-1F52S-1326-SM-7SB6Q.1",1154692.05635386
"Adipose - Subcutaneous","GTEX-1GN1U-0226-SM-9YFLQ.1",215121.385658574
"Adipose - Subcutaneous","GTEX-1H1DE-2026-SM-9WG6Q.1",167785.077703217
"Adipose - Visceral (Omentum)","GTEX-1HSEH-1326-SM-ADEI1.1",378022.930354026
"Adipose - Subcutaneous","GTEX-1HUB1-0326-SM-A9SKQ.1",269542.915363806
"Adipose - Subcutaneous","GTEX-1I1GR-0226-SM-CMKHQ.1",246296.36135802
"Adipose - Subcutaneous","GTEX-1I1GT-0526-SM-CGQEQ.1",504268.69971542
"Adipose - Subcutaneous","GTEX-OXRK-0326-SM-3NB3R.1",663750.600194404
"Adipose - Visceral (Omentum)","GTEX-WHWD-0826-SM-3LK6R.1",676023.843820632
"Adipose - Subcutaneous","GTEX-X261-0226-SM-3NMD2.1",404782.817458923
"Adipose - Subcutaneous","GTEX-PLZ5-1826-SM-3NB22.1",484676.01213271
"Adipose - Visceral (Omentum)","GTEX-13FXS-1326-SM-62LFR.1",703615.219758985
"Adipose - Visceral (Omentum)","GTEX-1445S-2426-SM-79ON2.1",204979.564112473
"Adipose - Subcutaneous","GTEX-147JS-0426-SM-5TDD2.1",170783.121947792
"Adipose - Visceral (Omentum)","GTEX-14BIM-1626-SM-7EWD2.1",434821.815456323
"Adipose - Visceral (Omentum)","GTEX-14PJ5-0426-SM-5ZZW2.1",407652.039489864
"Adipose - Subcutaneous","GTEX-14PJM-0326-SM-62LF2.1",165407.722306152
"Adipose - Visceral (Omentum)","GTEX-15CHS-1226-SM-5ZZVR.1",246905.3390952
"Adipose - Subcutaneous","GTEX-15G19-0226-SM-6PAL2.1",376641.019335043
"Adipose - Visceral (Omentum)","GTEX-15SHW-1726-SM-6LPJ2.1",220812.985279134
"Adipose - Visceral (Omentum)","GTEX-16NPV-0626-SM-7IGOR.1",715642.530068276
"Adipose - Subcutaneous","GTEX-16XZY-2526-SM-7DHL2.1",98010.28235487
"Adipose - Subcutaneous","GTEX-17HGU-0326-SM-7DUER.1",170361.521975899
"Adipose - Subcutaneous","GTEX-1A32A-0226-SM-718B2.1",384346.929932426
"Adipose - Visceral (Omentum)","GTEX-1AMEY-0526-SM-72D62.1",257562.449495836
"Adipose - Subcutaneous","GTEX-1C6VR-2626-SM-7MGX2.1",255442.738526039
"Adipose - Subcutaneous","GTEX-1CB4F-0526-SM-9KNW2.1",246647.694667931
"Adipose - Subcutaneous","GTEX-1CB4G-0326-SM-7SB8R.1",132265.280071204
"Adipose - Subcutaneous","GTEX-1CB4I-0426-SM-7IGPR.1",88442.3052149574
"Adipose - Visceral (Omentum)","GTEX-1EKGG-1426-SM-7PBY2.1",247209.827963789
"Adipose - Subcutaneous","GTEX-1F48J-0226-SM-7SB82.1",428802.304746513
"Adipose - Subcutaneous","GTEX-1HBPM-0326-SM-CMKGR.1",334281.933270093
"Adipose - Subcutaneous","GTEX-1HCU8-0726-SM-ADEIR.1",119453.325369778
"Adipose - Subcutaneous","GTEX-1HFI7-2026-SM-CGQFR.1",789024.347398376
"Adipose - Visceral (Omentum)","GTEX-1I1GU-0626-SM-CMKHR.1",613404.536884142
"Adipose - Subcutaneous","GTEX-1I4MK-2026-SM-B2LVR.1",193772.031526309
"Adipose - Subcutaneous","GTEX-1ICLY-0226-SM-ARL7R.1",113433.814659968
"Adipose - Visceral (Omentum)","GTEX-1IDJC-0226-SM-CMKG2.1",594619.915914228
"Adipose - Subcutaneous","GTEX-1IL2V-0226-SM-CMKI2.1",273794.04841373
"Adipose - Visceral (Omentum)","GTEX-1JJE9-1526-SM-CM2RR.1",792443.991614845
"Adipose - Visceral (Omentum)","GTEX-1JMPY-0326-SM-CM2S2.1",263136.938013093
"Adipose - Visceral (Omentum)","GTEX-1JMQK-1326-SM-CNPOR.1",545351.274754359
"Adipose - Subcutaneous","GTEX-1KAFJ-2426-SM-D4P32.1",292332.736066707
"Adipose - Visceral (Omentum)","GTEX-1LVAN-0926-SM-CNNQ2.1",185246.343205799
"Adipose - Subcutaneous","GTEX-1N2EF-0626-SM-E9J32.1",242911.850472543
"Adipose - Subcutaneous","GTEX-SIU8-0226-SM-2XCDS.1",237676.984154867
"Adipose - Visceral (Omentum)","GTEX-WEY5-1326-SM-3GILS.1",218915.785405614
"Adipose - Subcutaneous","GTEX-QDVN-2126-SM-33HBS.1",341542.821674923
"Adipose - Subcutaneous","GTEX-11DXX-2326-SM-9YFKS.1",338685.310754313
"Adipose - Visceral (Omentum)","GTEX-14E6D-1326-SM-62LES.1",564627.762358149
"Adipose - Subcutaneous","GTEX-14JG6-2326-SM-6LLH3.1",281441.403459462
"Adipose - Subcutaneous","GTEX-14PJ4-2226-SM-6LLIS.1",226645.118223659
"Adipose - Visceral (Omentum)","GTEX-14PJN-0626-SM-6EU13.1",303212.357563621
"Adipose - Subcutaneous","GTEX-15CHQ-0226-SM-6EU2S.1",179297.099157971
"Adipose - Subcutaneous","GTEX-15ER7-0426-SM-6PAM3.1",165665.36673342
"Adipose - Subcutaneous","GTEX-15TU5-0326-SM-6PALS.1",279930.670226844
"Adipose - Subcutaneous","GTEX-17F98-1126-SM-79OJS.1",263453.137992013
"Adipose - Subcutaneous","GTEX-17F9Y-0326-SM-7IGLS.1",697080.420194638
